image,quality,size_bytes,compression_ratio
Lenna_color,0,518853,24.251
Lenna_color,5,531969,23.653
Lenna_color,10,557534,22.569
Lenna_color,15,581387,21.643
Lenna_color,20,604471,20.816
Lenna_color,25,627482,20.053
Lenna_color,30,649051,19.387
Lenna_color,35,670186,18.775
Lenna_color,40,688197,18.284
Lenna_color,45,709103,17.745
Lenna_color,50,727182,17.304
Lenna_color,55,745874,16.87
Lenna_color,60,768986,16.363
Lenna_color,65,797880,15.77
Lenna_color,70,832007,15.124
Lenna_color,75,870367,14.457
Lenna_color,80,933599,13.478
Lenna_color,85,1020834,12.326
Lenna_color,90,1178088,10.681
Lenna_color,95,1547094,8.133
Lenna_color,100,3051994,4.123
Lenna_grayscale,0,517889,24.297
Lenna_grayscale,5,530706,23.71
Lenna_grayscale,10,554576,22.689
Lenna_grayscale,15,576362,21.832
Lenna_grayscale,20,597059,21.075
Lenna_grayscale,25,617639,20.373
Lenna_grayscale,30,636294,19.775
Lenna_grayscale,35,654980,19.211
Lenna_grayscale,40,670945,18.754
Lenna_grayscale,45,689473,18.25
Lenna_grayscale,50,704480,17.861
Lenna_grayscale,55,720648,17.461
Lenna_grayscale,60,740638,16.989
Lenna_grayscale,65,765949,16.428
Lenna_grayscale,70,794208,15.843
Lenna_grayscale,75,825439,15.244
Lenna_grayscale,80,876285,14.359
Lenna_grayscale,85,945860,13.303
Lenna_grayscale,90,1073287,11.724
Lenna_grayscale,95,1368477,9.195
Lenna_grayscale,100,2241482,5.614
Lenna_bw,0,561977,22.39
Lenna_bw,5,583496,21.565
Lenna_bw,10,621975,20.231
Lenna_bw,15,653882,19.243
Lenna_bw,20,685029,18.368
Lenna_bw,25,714459,17.612
Lenna_bw,30,742072,16.956
Lenna_bw,35,767149,16.402
Lenna_bw,40,788123,15.966
Lenna_bw,45,812452,15.488
Lenna_bw,50,831227,15.138
Lenna_bw,55,853253,14.747
Lenna_bw,60,876109,14.362
Lenna_bw,65,902245,13.946
Lenna_bw,70,934054,13.471
Lenna_bw,75,969641,12.977
Lenna_bw,80,1020219,12.334
